"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 11, 2003","1,528.85","1,532.64","1,535.97","1,523.24","1.33B","-0.20%"
"Jul 10, 2003","1,531.93","1,503.51","1,532.19","1,501.71","1.33B","1.90%"
"Jul 09, 2003","1,503.31","1,512.34","1,513.28","1,499.34","548.13M","-0.58%"
"Jul 08, 2003","1,512.02","1,501.62","1,513.55","1,500.98","651.91M","0.70%"
"Jul 07, 2003","1,501.48","1,500.85","1,503.81","1,490.97","595.12M","-0.06%"
"Jul 04, 2003","1,502.35","1,504.60","1,510.17","1,497.46","631.30M","-0.14%"
"Jul 03, 2003","1,504.44","1,501.90","1,507.71","1,497.74","651.39M","0.32%"
"Jul 02, 2003","1,499.68","1,485.44","1,499.97","1,477.87","674.92M","1.01%"
"Jul 01, 2003","1,484.70","1,485.52","1,502.57","1,482.82","663.32M","-0.09%"
"Jun 30, 2003","1,486.02","1,493.69","1,500.97","1,483.69","578.04M","-0.74%"
"Jun 27, 2003","1,497.05","1,516.81","1,516.87","1,494.44","768.71M","-1.21%"
"Jun 26, 2003","1,515.38","1,500.34","1,517.21","1,486.08","930.01M","0.89%"
"Jun 25, 2003","1,502.08","1,512.49","1,515.92","1,498.96","682.23M","-0.68%"
"Jun 24, 2003","1,512.43","1,509.11","1,515.84","1,504.72","636.94M","0.07%"
"Jun 23, 2003","1,511.37","1,524.58","1,524.91","1,509.43","733.95M","-1.18%"
"Jun 20, 2003","1,529.47","1,537.50","1,542.42","1,528.30","664.88M","-0.60%"
"Jun 19, 2003","1,538.75","1,554.02","1,557.38","1,530.38","993.74M","-0.97%"
"Jun 18, 2003","1,553.88","1,556.89","1,565.92","1,552.83","872.89M","-0.21%"
"Jun 17, 2003","1,557.17","1,559.12","1,564.94","1,552.43","719.17M","-0.16%"
"Jun 16, 2003","1,559.70","1,568.19","1,569.55","1,555.37","804.09M","-0.45%"
"Jun 13, 2003","1,566.77","1,562.61","1,572.41","1,560.30","968.13M","0.30%"
"Jun 12, 2003","1,562.11","1,566.92","1,569.13","1,556.53","820.73M","-0.24%"
"Jun 11, 2003","1,565.84","1,540.72","1,566.90","1,540.70","1.31B","1.76%"
"Jun 10, 2003","1,538.76","1,529.53","1,541.39","1,529.52","679.07M","0.56%"
"Jun 09, 2003","1,530.21","1,536.27","1,548.14","1,527.84","982.74M","-0.57%"
"Jun 06, 2003","1,538.92","1,553.19","1,557.76","1,538.10","1.05B","-1.11%"
"Jun 05, 2003","1,556.25","1,575.31","1,575.63","1,555.45","1.18B","-1.13%"
"Jun 04, 2003","1,574.11","1,560.67","1,574.77","1,546.62","1.43B","0.76%"
"Jun 03, 2003","1,562.24","1,577.08","1,582.41","1,561.08","1.11B","-0.91%"
"Jun 02, 2003","1,576.53","1,577.99","1,578.87","1,564.61","1.17B","0.02%"
"May 30, 2003","1,576.26","1,570.92","1,581.61","1,567.28","1.61B","0.52%"
