,Year,Week,day,Country,Cases,Continent,lat,long
0,2015,18,0,SA,7,Asia,23.885942,45.079162
1,2015,22,30,SA,6,Asia,23.885942,45.079162
2,2015,26,60,SA,1,Asia,23.885942,45.079162
3,2015,30,90,SA,14,Asia,23.885942,45.079162
4,2015,18,0,KR,0,Asia,35.907757000000004,127.766922
5,2015,22,30,KR,86,Asia,35.907757000000004,127.766922
6,2015,26,60,KR,3,Asia,35.907757000000004,127.766922
7,2015,30,90,KR,0,Asia,35.907757000000004,127.766922
