Province/State,Country/Region,Confirmed,Deaths,Date,Latitude,Longitude
Hubei,China,67773,3046,2020-03-11,30.9756,112.2707
,Italy,12462,827,2020-03-11,43.0,12.0
,Iran,9000,354,2020-03-11,32.0,53.0
,"Korea, South",7755,60,2020-03-11,36.0,128.0
France,France,2281,48,2020-03-11,46.2276,2.2137
,Spain,2277,54,2020-03-11,40.0,-4.0
,Germany,1908,3,2020-03-11,51.0,9.0
Guangdong,China,1356,8,2020-03-11,23.3417,113.4244
Henan,China,1273,22,2020-03-11,33.882,113.614
Zhejiang,China,1215,1,2020-03-11,29.1832,120.0934
Hunan,China,1018,4,2020-03-11,27.6104,111.7088
Anhui,China,990,6,2020-03-11,31.8257,117.2264
Jiangxi,China,935,1,2020-03-11,27.614,115.7221
Shandong,China,760,6,2020-03-11,36.3427,118.1498
Diamond Princess,Cruise Ship,696,7,2020-03-11,35.4437,139.638
,Switzerland,652,4,2020-03-11,46.8182,8.2275
,Japan,639,15,2020-03-11,36.0,138.0
Jiangsu,China,631,0,2020-03-11,32.9711,119.455
,Norway,598,0,2020-03-11,60.472,8.4689
Chongqing,China,576,6,2020-03-11,30.0572,107.874
Sichuan,China,539,3,2020-03-11,30.6171,102.7103
,Netherlands,503,5,2020-03-11,52.1326,5.2913
,Sweden,500,1,2020-03-11,63.0,16.0
Heilongjiang,China,482,13,2020-03-11,47.862,127.7615
UK,United Kingdom,456,8,2020-03-11,55.3781,-3.436
Denmark,Denmark,442,0,2020-03-11,56.2639,9.5018
Beijing,China,435,8,2020-03-11,40.1824,116.4142
Washington,US,366,29,2020-03-11,47.4009,-121.4905
Shanghai,China,344,3,2020-03-11,31.202,121.4491
Hebei,China,318,6,2020-03-11,39.549,116.1306
,Belgium,314,3,2020-03-11,50.8333,4.0
Fujian,China,296,1,2020-03-11,26.0789,117.9874
,Qatar,262,0,2020-03-11,25.3548,51.1839
Guangxi,China,252,2,2020-03-11,23.8298,108.7881
,Austria,246,0,2020-03-11,47.5162,14.5501
Shaanxi,China,245,1,2020-03-11,35.1917,108.8701
New York,US,220,0,2020-03-11,42.1657,-74.9481
,Bahrain,195,0,2020-03-11,26.0275,50.55
,Singapore,178,0,2020-03-11,1.2833,103.8333
California,US,177,3,2020-03-11,36.1162,-119.6816
Yunnan,China,174,2,2020-03-11,24.974,101.487
Hainan,China,168,6,2020-03-11,19.1959,109.7453
,Malaysia,149,0,2020-03-11,2.5,112.5
Guizhou,China,146,2,2020-03-11,26.8154,106.8748
Tianjin,China,136,3,2020-03-11,39.3054,117.323
Shanxi,China,133,0,2020-03-11,37.5777,112.2922
Gansu,China,127,2,2020-03-11,37.8099,101.0583
Hong Kong,China,126,3,2020-03-11,22.3,114.2
Liaoning,China,125,1,2020-03-11,41.2956,122.6085
,Israel,109,0,2020-03-11,31.0,35.0
,Greece,99,1,2020-03-11,39.0742,21.8243
Massachusetts,US,95,0,2020-03-11,42.2302,-71.5301
Jilin,China,93,1,2020-03-11,43.6661,126.1923
,Czechia,91,0,2020-03-11,49.8175,15.473
,Iceland,85,0,2020-03-11,64.9631,-19.0208
Xinjiang,China,76,3,2020-03-11,41.1129,85.2401
Inner Mongolia,China,75,1,2020-03-11,44.0935,113.9448
Ningxia,China,75,0,2020-03-11,37.2692,106.1655
,United Arab Emirates,74,0,2020-03-11,23.4241,53.8478
,Kuwait,72,0,2020-03-11,29.5,47.75
,Iraq,71,7,2020-03-11,33.0,44.0
New South Wales,Australia,65,2,2020-03-11,-33.8688,151.2093
,India,62,1,2020-03-11,21.0,78.0
,San Marino,62,2,2020-03-11,43.9424,12.4578
,Lebanon,61,3,2020-03-11,33.8547,35.8623
,Egypt,60,1,2020-03-11,26.0,30.0
,Finland,59,0,2020-03-11,64.0,26.0
,Portugal,59,0,2020-03-11,39.3999,-8.2245
,Thailand,59,1,2020-03-11,15.87,100.9925
,Slovenia,57,0,2020-03-11,46.1512,14.9955
,Philippines,49,1,2020-03-11,12.8797,121.774
,Taiwan*,48,1,2020-03-11,23.7,121.0
Diamond Princess,US,46,0,2020-03-11,35.4437,139.638
,Romania,45,0,2020-03-11,46.0,25.0
,Ireland,43,1,2020-03-11,53.1424,-7.6921
Ontario,Canada,41,0,2020-03-11,51.2538,-85.3232
British Columbia,Canada,39,1,2020-03-11,53.7267,-127.6476
,Brazil,38,0,2020-03-11,-14.235,-51.9253
,Vietnam,38,0,2020-03-11,16.0,108.0
,Indonesia,34,1,2020-03-11,-0.7893,113.9213
Colorado,US,34,0,2020-03-11,39.0598,-105.3111
,Poland,31,0,2020-03-11,51.9194,19.1451
Florida,US,28,2,2020-03-11,27.7663,-81.6868
Illinois,US,25,0,2020-03-11,40.3495,-88.9861
,Georgia,24,0,2020-03-11,42.3154,43.3569
,Chile,23,0,2020-03-11,-35.6751,-71.543
Georgia,US,23,0,2020-03-11,33.0406,-83.6431
New Jersey,US,23,1,2020-03-11,40.2989,-74.521
Victoria,Australia,21,0,2020-03-11,-37.8136,144.9631
,Saudi Arabia,21,0,2020-03-11,24.0,45.0
Grand Princess,US,21,0,2020-03-11,37.6489,-122.6655
Texas,US,21,0,2020-03-11,31.0545,-97.5635
,Algeria,20,0,2020-03-11,28.0339,1.6596
Queensland,Australia,20,0,2020-03-11,-28.0167,153.4
,Russia,20,0,2020-03-11,60.0,90.0
,Argentina,19,1,2020-03-11,-38.4161,-63.6167
Alberta,Canada,19,0,2020-03-11,53.9333,-116.5765
,Croatia,19,0,2020-03-11,45.1667,15.5
,Pakistan,19,0,2020-03-11,30.3753,69.3451
Oregon,US,19,0,2020-03-11,44.572,-122.0709
Qinghai,China,18,0,2020-03-11,35.7452,95.9956
,Oman,18,0,2020-03-11,21.0,57.0
,Ecuador,17,0,2020-03-11,-1.8312,-78.1834
,Estonia,16,0,2020-03-11,58.5953,25.0136
Pennsylvania,US,16,0,2020-03-11,40.5908,-77.2098
,Costa Rica,13,0,2020-03-11,9.7489,-83.7534
,Hungary,13,0,2020-03-11,47.1625,19.5033
,South Africa,13,0,2020-03-11,-30.5595,22.9375
Iowa,US,13,0,2020-03-11,42.0115,-93.2105
,Albania,12,1,2020-03-11,41.1533,20.1683
,Serbia,12,0,2020-03-11,44.0165,21.0059
,Azerbaijan,11,0,2020-03-11,40.1431,47.5769
,Brunei,11,0,2020-03-11,4.5353,114.7277
,Peru,11,0,2020-03-11,-9.19,-75.0152
Indiana,US,11,0,2020-03-11,39.8494,-86.2583
Macau,China,10,0,2020-03-11,22.1667,113.55
,Latvia,10,0,2020-03-11,56.8796,24.6032
,Slovakia,10,0,2020-03-11,48.669,19.699
District of Columbia,US,10,0,2020-03-11,38.8974,-77.0268
South Carolina,US,10,0,2020-03-11,33.8569,-80.945
South Australia,Australia,9,0,2020-03-11,-34.9285,138.6007
Western Australia,Australia,9,1,2020-03-11,-31.9505,115.8605
,Belarus,9,0,2020-03-11,53.7098,27.9534
,Colombia,9,0,2020-03-11,4.5709,-74.2973
Arizona,US,9,0,2020-03-11,33.7298,-111.4312
Maryland,US,9,0,2020-03-11,39.0639,-76.8021
Tennessee,US,9,0,2020-03-11,35.7478,-86.6923
Virginia,US,9,0,2020-03-11,37.7693,-78.17
Quebec,Canada,8,0,2020-03-11,52.9399,-73.5491
,Maldives,8,0,2020-03-11,3.2028,73.2207
,Mexico,8,0,2020-03-11,23.0,-102.0
,Panama,8,1,2020-03-11,8.538,-80.7821
Kentucky,US,8,0,2020-03-11,37.6681,-84.6701
South Dakota,US,8,1,2020-03-11,44.2998,-99.4388
,Afghanistan,7,0,2020-03-11,33.0,65.0
,Bosnia and Herzegovina,7,0,2020-03-11,43.9159,17.6791
,Bulgaria,7,1,2020-03-11,42.7339,25.4858
,Luxembourg,7,0,2020-03-11,49.8144,6.1317
,North Macedonia,7,0,2020-03-11,41.6086,21.7453
,Tunisia,7,0,2020-03-11,33.8869,9.5375
Nevada,US,7,0,2020-03-11,38.3135,-117.0554
North Carolina,US,7,0,2020-03-11,35.6301,-79.8064
,Cyprus,6,0,2020-03-11,35.1264,33.4299
,Malta,6,0,2020-03-11,35.9375,14.3754
Louisiana,US,6,0,2020-03-11,31.1695,-91.8678
Wisconsin,US,6,0,2020-03-11,44.2685,-89.6165
,Dominican Republic,5,0,2020-03-11,18.7357,-70.1627
,French Guiana,5,0,2020-03-11,3.9339,-53.1258
,Morocco,5,1,2020-03-11,31.7917,-7.0926
,New Zealand,5,0,2020-03-11,-40.9006,174.886
,Paraguay,5,0,2020-03-11,-23.4425,-58.4438
Minnesota,US,5,0,2020-03-11,45.6945,-93.9002
Nebraska,US,5,0,2020-03-11,41.1254,-98.2681
New Hampshire,US,5,0,2020-03-11,43.4525,-71.5639
Rhode Island,US,5,0,2020-03-11,41.6809,-71.5118
,Senegal,4,0,2020-03-11,14.4974,-14.4524
Ohio,US,4,0,2020-03-11,40.3888,-82.7649
Tasmania,Australia,3,0,2020-03-11,-41.4545,145.9707
,Bangladesh,3,0,2020-03-11,23.685,90.3563
,Cambodia,3,0,2020-03-11,12.5657,104.991
,Lithuania,3,0,2020-03-11,55.1694,23.8813
,Martinique,3,0,2020-03-11,14.6415,-61.0242
,Moldova,3,0,2020-03-11,47.4116,28.3699
Connecticut,US,3,0,2020-03-11,41.5978,-72.7554
New Mexico,US,3,0,2020-03-11,34.8405,-106.2485
Utah,US,3,0,2020-03-11,40.15,-111.8624
,Bolivia,2,0,2020-03-11,-16.2902,-63.5887
,Burkina Faso,2,0,2020-03-11,12.2383,-1.5616
,Cameroon,2,0,2020-03-11,3.848,11.5021
Faroe Islands,Denmark,2,0,2020-03-11,61.8926,-6.9118
St Martin,France,2,0,2020-03-11,18.0708,-63.0501
,Honduras,2,0,2020-03-11,15.2,-86.2419
,Nigeria,2,0,2020-03-11,9.082,8.6753
,Sri Lanka,2,0,2020-03-11,7.8731,80.7718
Hawaii,US,2,0,2020-03-11,21.0943,-157.4983
Michigan,US,2,0,2020-03-11,43.3266,-84.5361
Oklahoma,US,2,0,2020-03-11,35.5653,-96.9289
Channel Islands,United Kingdom,2,0,2020-03-11,49.3723,-2.3644
,Andorra,1,0,2020-03-11,42.5063,1.5218
,Armenia,1,0,2020-03-11,40.0691,45.0382
Northern Territory,Australia,1,0,2020-03-11,-12.4634,130.8456
,Bhutan,1,0,2020-03-11,27.5142,90.4336
New Brunswick,Canada,1,0,2020-03-11,46.5653,-66.4619
Tibet,China,1,0,2020-03-11,31.6927,88.0924
,Congo (Kinshasa),1,0,2020-03-11,-4.0383,21.7587
,Cote d'Ivoire,1,0,2020-03-11,7.54,-5.5471
Saint Barthelemy,France,1,0,2020-03-11,17.9,-62.8333
,Holy See,1,0,2020-03-11,41.9029,12.4534
,Jamaica,1,0,2020-03-11,18.1096,-77.2975
,Jordan,1,0,2020-03-11,31.24,36.51
,Liechtenstein,1,0,2020-03-11,47.14,9.55
,Monaco,1,0,2020-03-11,43.7333,7.4167
,Mongolia,1,0,2020-03-11,46.8625,103.8467
,Nepal,1,0,2020-03-11,28.3949,84.124
,Reunion,1,0,2020-03-11,-21.1151,55.5364
,Togo,1,0,2020-03-11,8.6195,0.8248
,Turkey,1,0,2020-03-11,38.9637,35.2433
Arkansas,US,1,0,2020-03-11,34.9697,-92.3731
Delaware,US,1,0,2020-03-11,39.3185,-75.5071
Kansas,US,1,0,2020-03-11,38.5266,-96.7265
Missouri,US,1,0,2020-03-11,38.4561,-92.2884
Montana,US,1,0,2020-03-11,46.9219,-110.4544
Vermont,US,1,0,2020-03-11,44.0459,-72.7107
,Ukraine,1,0,2020-03-11,48.3794,31.1656
Gibraltar,United Kingdom,1,0,2020-03-11,36.1408,-5.3536
From Diamond Princess,Australia,0,0,2020-03-11,35.4437,139.638
Gansu,Mainland China,0,0,2020-03-11,36.0611,103.8343
Hebei,Mainland China,0,0,2020-03-11,38.0428,114.5149
Alaska,US,0,0,2020-03-11,61.3707,-152.4044
Idaho,US,0,0,2020-03-11,44.2405,-114.4788
Maine,US,0,0,2020-03-11,44.6939,-69.3819
Mississippi,US,0,0,2020-03-11,32.7416,-89.6787
North Dakota,US,0,0,2020-03-11,47.5289,-99.784
West Virginia,US,0,0,2020-03-11,38.4912,-80.9545
Wyoming,US,0,0,2020-03-11,42.756,-107.3025
,occupied Palestinian territory,0,0,2020-03-11,31.9522,35.2332
