Province/State,Country/Region,Confirmed,Deaths,Date,Latitude,Longitude
Hubei,Mainland China,67332,2871,2020-03-04,30.9756,112.2707
,South Korea,5621,35,2020-03-04,36.0,128.0
,Italy,3089,107,2020-03-04,43.0,12.0
,Iran,2922,92,2020-03-04,32.0,53.0
Guangdong,Mainland China,1350,7,2020-03-04,23.3417,113.4244
Henan,Mainland China,1272,22,2020-03-04,33.882,113.614
Zhejiang,Mainland China,1213,1,2020-03-04,29.1832,120.0934
Hunan,Mainland China,1018,4,2020-03-04,27.6104,111.7088
Anhui,Mainland China,990,6,2020-03-04,31.8257,117.2264
Jiangxi,Mainland China,935,1,2020-03-04,27.614,115.7221
Shandong,Mainland China,758,6,2020-03-04,36.3427,118.1498
Diamond Princess cruise ship,Others,706,6,2020-03-04,35.4437,139.638
Jiangsu,Mainland China,631,0,2020-03-04,32.9711,119.455
Chongqing,Mainland China,576,6,2020-03-04,30.0572,107.874
Sichuan,Mainland China,538,3,2020-03-04,30.6171,102.7103
Heilongjiang,Mainland China,480,13,2020-03-04,47.862,127.7615
Beijing,Mainland China,418,8,2020-03-04,40.1824,116.4142
Shanghai,Mainland China,338,3,2020-03-04,31.202,121.4491
,Japan,331,6,2020-03-04,36.0,138.0
Hebei,Mainland China,318,6,2020-03-04,38.0428,114.5149
Fujian,Mainland China,296,1,2020-03-04,26.0789,117.9874
,France,285,4,2020-03-04,47.0,2.0
,Germany,262,0,2020-03-04,51.0,9.0
Guangxi,Mainland China,252,2,2020-03-04,23.8298,108.7881
Shaanxi,Mainland China,245,1,2020-03-04,35.1917,108.8701
,Spain,222,2,2020-03-04,40.0,-4.0
Yunnan,Mainland China,174,2,2020-03-04,24.974,101.487
Hainan,Mainland China,168,5,2020-03-04,19.1959,109.7453
Guizhou,Mainland China,146,2,2020-03-04,26.8154,106.8748
Tianjin,Mainland China,136,3,2020-03-04,39.3054,117.323
Shanxi,Mainland China,133,0,2020-03-04,37.5777,112.2922
Liaoning,Mainland China,125,1,2020-03-04,41.2956,122.6085
,Singapore,110,0,2020-03-04,1.2833,103.8333
Hong Kong,Hong Kong,105,2,2020-03-04,22.3,114.2
Jilin,Mainland China,93,1,2020-03-04,43.6661,126.1923
Gansu,Mainland China,91,2,2020-03-04,36.0611,103.8343
,Switzerland,90,0,2020-03-04,46.8182,8.2275
,UK,85,0,2020-03-04,55.0,-3.0
Xinjiang,Mainland China,76,3,2020-03-04,41.1129,85.2401
Inner Mongolia,Mainland China,75,1,2020-03-04,44.0935,113.9448
Ningxia,Mainland China,75,0,2020-03-04,37.2692,106.1655
,Kuwait,56,0,2020-03-04,29.5,47.75
,Norway,56,0,2020-03-04,60.472,8.4689
,Bahrain,52,0,2020-03-04,26.0275,50.55
,Malaysia,50,0,2020-03-04,2.5,112.5
Unassigned Location (From Diamond Princess),US,45,0,2020-03-04,35.4437,139.638
,Thailand,43,1,2020-03-04,15.0,101.0
Taiwan,Taiwan,42,1,2020-03-04,23.7,121.0
,Netherlands,38,0,2020-03-04,52.1326,5.2913
,Iraq,35,2,2020-03-04,33.0,44.0
,Sweden,35,0,2020-03-04,63.0,16.0
"King County, WA",US,31,9,2020-03-04,47.548,-121.9836
,Austria,29,0,2020-03-04,47.5162,14.5501
,India,28,0,2020-03-04,21.0,78.0
,United Arab Emirates,27,0,2020-03-04,24.0,54.0
,Iceland,26,0,2020-03-04,64.9631,-19.0208
,Belgium,23,0,2020-03-04,50.8333,4.0
New South Wales,Australia,22,1,2020-03-04,-33.8688,151.2093
"Toronto, ON",Canada,19,0,2020-03-04,43.6532,-79.3832
Qinghai,Mainland China,18,0,2020-03-04,35.7452,95.9956
,San Marino,16,1,2020-03-04,43.9424,12.4578
,Vietnam,16,0,2020-03-04,16.0,108.0
,Israel,15,0,2020-03-04,31.0,35.0
,Oman,15,0,2020-03-04,21.0,57.0
,Lebanon,13,0,2020-03-04,33.8547,35.8623
,Algeria,12,0,2020-03-04,28.0339,1.6596
British Columbia,Canada,12,0,2020-03-04,49.2827,-123.1207
Queensland,Australia,11,0,2020-03-04,-28.0167,153.4
"Santa Clara, CA",US,11,0,2020-03-04,37.3541,-121.9552
Victoria,Australia,10,0,2020-03-04,-37.8136,144.9631
,Croatia,10,0,2020-03-04,45.1667,15.5
,Denmark,10,0,2020-03-04,56.2639,9.5018
,Ecuador,10,0,2020-03-04,-1.8312,-78.1834
Macau,Macau,10,0,2020-03-04,22.1667,113.55
"Westchester County, NY",US,10,0,2020-03-04,41.122,-73.7949
,Greece,9,0,2020-03-04,39.0742,21.8243
,Czech Republic,8,0,2020-03-04,49.8175,15.473
,Qatar,8,0,2020-03-04,25.3548,51.1839
"Snohomish County, WA",US,8,1,2020-03-04,48.033,-121.8339
"Los Angeles, CA",US,7,0,2020-03-04,34.0522,-118.2437
,Belarus,6,0,2020-03-04,53.7098,27.9534
,Finland,6,0,2020-03-04,64.0,26.0
,Ireland,6,0,2020-03-04,53.1424,-7.6921
South Australia,Australia,5,0,2020-03-04,-34.9285,138.6007
,Mexico,5,0,2020-03-04,23.0,-102.0
,Pakistan,5,0,2020-03-04,30.3753,69.3451
,Portugal,5,0,2020-03-04,39.3999,-8.2245
,Brazil,4,0,2020-03-04,-14.235,-51.9253
,Romania,4,0,2020-03-04,46.0,25.0
,Senegal,4,0,2020-03-04,14.4974,-14.4524
"Cook County, IL",US,4,0,2020-03-04,41.7377,-87.6976
,Azerbaijan,3,0,2020-03-04,40.1431,47.5769
,Georgia,3,0,2020-03-04,42.3154,43.3569
,New Zealand,3,0,2020-03-04,-40.9006,174.886
,Philippines,3,1,2020-03-04,13.0,122.0
,Russia,3,0,2020-03-04,60.0,90.0
,Saint Barthelemy,3,0,2020-03-04,17.9,-62.8333
"Orange County, CA",US,3,0,2020-03-04,33.7879,-117.8531
Western Australia,Australia,2,1,2020-03-04,-31.9505,115.8605
,Egypt,2,0,2020-03-04,26.0,30.0
,Estonia,2,0,2020-03-04,58.5953,25.0136
,Hungary,2,0,2020-03-04,47.1625,19.5033
,Indonesia,2,0,2020-03-04,-0.7893,113.9213
"Fulton County, GA",US,2,0,2020-03-04,33.8034,-84.3963
"Grafton County, NH",US,2,0,2020-03-04,43.9088,-71.826
"Hillsborough, FL",US,2,0,2020-03-04,27.9904,-82.3018
"Placer County, CA",US,2,1,2020-03-04,39.0916,-120.8039
"Providence, RI",US,2,0,2020-03-04,41.824,-71.4128
"Sacramento County, CA",US,2,0,2020-03-04,38.4747,-121.3542
"San Benito, CA",US,2,0,2020-03-04,36.5761,-120.9876
"San Diego County, CA",US,2,0,2020-03-04,32.7157,-117.1611
"San Mateo, CA",US,2,0,2020-03-04,37.563,-122.3255
"Washington County, OR",US,2,0,2020-03-04,45.547,-123.1386
,Afghanistan,1,0,2020-03-04,33.0,65.0
,Andorra,1,0,2020-03-04,42.5063,1.5218
,Argentina,1,0,2020-03-04,-38.4161,-63.6167
,Armenia,1,0,2020-03-04,40.0691,45.0382
Northern Territory,Australia,1,0,2020-03-04,-12.4634,130.8456
Tasmania,Australia,1,0,2020-03-04,-41.4545,145.9707
,Cambodia,1,0,2020-03-04,11.55,104.9167
" Montreal, QC",Canada,1,0,2020-03-04,45.5017,-73.5673
"London, ON",Canada,1,0,2020-03-04,42.9849,-81.2453
,Chile,1,0,2020-03-04,-35.6751,-71.543
,Dominican Republic,1,0,2020-03-04,18.7357,-70.1627
,Faroe Islands,1,0,2020-03-04,61.8926,-6.9118
,Gibraltar,1,0,2020-03-04,36.1408,-5.3536
,Jordan,1,0,2020-03-04,31.24,36.51
,Latvia,1,0,2020-03-04,56.8796,24.6032
,Liechtenstein,1,0,2020-03-04,47.14,9.55
,Lithuania,1,0,2020-03-04,55.1694,23.8813
,Luxembourg,1,0,2020-03-04,49.8144,6.1317
Tibet,Mainland China,1,0,2020-03-04,31.6927,88.0924
,Monaco,1,0,2020-03-04,43.7333,7.4167
,Morocco,1,0,2020-03-04,31.7917,-7.0926
,Nepal,1,0,2020-03-04,28.1667,84.25
,Nigeria,1,0,2020-03-04,9.082,8.6753
,North Macedonia,1,0,2020-03-04,41.6086,21.7453
,Poland,1,0,2020-03-04,51.9194,19.1451
,Saudi Arabia,1,0,2020-03-04,24.0,45.0
,Sri Lanka,1,0,2020-03-04,7.0,81.0
,Tunisia,1,0,2020-03-04,34.0,9.0
" Norfolk County, MA",US,1,0,2020-03-04,42.1767,-71.1449
"Berkeley, CA",US,1,0,2020-03-04,37.8715,-122.273
"Boston, MA",US,1,0,2020-03-04,42.3601,-71.0589
"Contra Costa County, CA",US,1,0,2020-03-04,37.8534,-121.9018
"Humboldt County, CA",US,1,0,2020-03-04,40.745,-123.8695
"Madison, WI",US,1,0,2020-03-04,43.0731,-89.4012
"Maricopa County, AZ",US,1,0,2020-03-04,33.2918,-112.4291
"New York City, NY",US,1,0,2020-03-04,40.7128,-74.006
"San Antonio, TX",US,1,0,2020-03-04,29.4241,-98.4936
"Sarasota, FL",US,1,0,2020-03-04,27.3364,-82.5307
"Sonoma County, CA",US,1,0,2020-03-04,38.578,-122.9888
"Tempe, AZ",US,1,0,2020-03-04,33.4255,-111.94
"Umatilla, OR",US,1,0,2020-03-04,45.775,-118.7606
"Wake County, NC",US,1,0,2020-03-04,35.8032,-78.5661
,Ukraine,1,0,2020-03-04,48.3794,31.1656
From Diamond Princess,Australia,0,0,2020-03-04,35.4437,139.638
"Lackland, TX (From Diamond Princess)",US,0,0,2020-03-04,29.3829,-98.6134
"Omaha, NE (From Diamond Princess)",US,0,0,2020-03-04,41.2545,-95.9758
"Travis, CA (From Diamond Princess)",US,0,0,2020-03-04,38.2721,-121.9399
