Province/State,Country/Region,Confirmed,Deaths,Date,Latitude,Longitude
South Carolina,US,4,0,2020-04-01,34.22333378,-82.46170658
Louisiana,US,47,1,2020-04-01,30.2950649,-92.41419698
Virginia,US,7,0,2020-04-01,37.76707161,-75.63234615
Idaho,US,195,3,2020-04-01,43.4526575,-116.24155159999998
Iowa,US,1,0,2020-04-01,41.33075609,-94.47105874
Missouri,US,3,0,2020-04-01,40.19058551,-92.60078167
Oklahoma,US,8,0,2020-04-01,35.88494195,-94.65859267
Colorado,US,181,2,2020-04-01,39.87432092,-104.3362578
Illinois,US,2,0,2020-04-01,39.98815591,-91.18786813
Indiana,US,1,0,2020-04-01,40.7457653,-84.93671406
Mississippi,US,11,0,2020-04-01,31.47669768,-91.35326037
Nebraska,US,4,0,2020-04-01,40.52449420000001,-98.50117804
Pennsylvania,US,12,0,2020-04-01,39.87140411,-77.21610347
Washington,US,14,0,2020-04-01,46.98299757,-118.5601734
Vermont,US,24,0,2020-04-01,44.03217337,-73.14130877
South Carolina,US,18,1,2020-04-01,33.54338026,-81.63645384
Florida,US,90,0,2020-04-01,29.67866525,-82.35928158
North Carolina,US,7,0,2020-04-01,36.0434701,-79.39976137
California,US,313,7,2020-04-01,37.64629437,-121.8929271
Colorado,US,1,0,2020-04-01,37.57250606,-105.7885451
New York,US,240,1,2020-04-01,42.60060306,-73.97723916
Wyoming,US,3,0,2020-04-01,41.65498705,-105.7235415
Virginia,US,21,0,2020-04-01,38.02080697,-78.55481085
Mississippi,US,3,0,2020-04-01,34.88084463,-88.57996173
North Carolina,US,2,0,2020-04-01,35.922379600000006,-81.17751948
Virginia,US,32,0,2020-04-01,38.814003,-77.08183073
Iowa,US,7,1,2020-04-01,43.28383218,-91.37860922
Michigan,US,5,0,2020-04-01,42.59147037,-85.89102866
New York,US,10,1,2020-04-01,42.25748406,-78.02750466
North Carolina,US,2,0,2020-04-01,36.49360862,-81.12857041
Virginia,US,1,0,2020-04-01,37.78636074,-80.00222498
Pennsylvania,US,356,2,2020-04-01,40.46809875,-79.98167747
Indiana,US,39,2,2020-04-01,41.09194313,-85.06800636
Kentucky,US,2,0,2020-04-01,36.75197631,-86.19457544
Louisiana,US,19,0,2020-04-01,30.65385745,-92.82442028
Ohio,US,6,0,2020-04-01,40.77285242,-84.10802343
South Carolina,US,1,0,2020-04-01,32.98837386,-81.35321066
California,US,1,0,2020-04-01,38.59678594,-119.8223594
California,US,2,0,2020-04-01,38.44583082,-120.65696
Virginia,US,2,0,2020-04-01,37.34081025,-77.98584649
Virginia,US,5,0,2020-04-01,37.60308293,-79.14548696
Mississippi,US,4,1,2020-04-01,31.17467303,-90.80501621
Alaska,US,65,1,2020-04-01,61.14998174,-149.14269860000005
Kentucky,US,2,1,2020-04-01,38.00671029,-84.99171713
South Carolina,US,47,2,2020-04-01,34.51828081,-82.63959517
Tennessee,US,10,0,2020-04-01,36.12684348,-84.19965764
Texas,US,1,0,2020-04-01,31.81534745,-95.65354823
Texas,US,0,0,2020-04-01,32.30468633,-102.6376548
Maine,US,11,0,2020-04-01,44.1664747,-70.20380627
Texas,US,5,0,2020-04-01,31.25457347,-94.60901487
Maryland,US,158,1,2020-04-01,39.00670238,-76.60329337
Minnesota,US,26,0,2020-04-01,45.27476015,-93.24604565
North Carolina,US,1,0,2020-04-01,34.97403241,-80.09953279
Nebraska,US,1,0,2020-04-01,42.17695516,-98.0666283
Michigan,US,4,0,2020-04-01,44.99690221,-85.15503082
Arizona,US,33,0,2020-04-01,35.5313,-109.3783
Iowa,US,1,0,2020-04-01,40.74324454,-92.86865906
Georgia,US,1,0,2020-04-01,31.74847232,-82.28909114
Texas,US,0,0,2020-04-01,28.10556197,-96.9995047
Colorado,US,333,6,2020-04-01,39.64977461,-104.3353617
Colorado,US,1,0,2020-04-01,37.19474156,-107.0476867
Michigan,US,1,0,2020-04-01,44.0636262,-83.89277559
Arkansas,US,1,0,2020-04-01,34.29145151,-91.37277296
Virginia,US,119,2,2020-04-01,38.8767675,-77.10139853
Pennsylvania,US,5,0,2020-04-01,40.81665618,-79.46290811
Louisiana,US,189,5,2020-04-01,30.20406249,-90.91328409999998
Ohio,US,2,0,2020-04-01,40.84772277,-82.27280781
Wisconsin,US,1,0,2020-04-01,46.31956891,-90.67837132
Arkansas,US,1,0,2020-04-01,33.19153461,-91.7698471
Ohio,US,6,0,2020-04-01,41.70860332,-80.74830218
Louisiana,US,25,0,2020-04-01,29.89946234,-91.06461642
Texas,US,2,0,2020-04-01,28.89333001,-98.52730485
Kansas,US,1,0,2020-04-01,39.53185661,-95.30870026
Missouri,US,1,0,2020-04-01,40.43238737,-95.42970639
Ohio,US,3,1,2020-04-01,39.33425634,-82.04278644
New Jersey,US,40,0,2020-04-01,39.47538693,-74.65848483
Mississippi,US,11,0,2020-04-01,33.08658803,-89.57838564
Iowa,US,1,0,2020-04-01,41.6844628,-94.90581859
Ohio,US,3,0,2020-04-01,40.55998859,-84.22421429999999
Virginia,US,1,0,2020-04-01,38.16404586,-79.12461614
South Dakota,US,1,0,2020-04-01,43.71757685,-98.56050467
Texas,US,2,0,2020-04-01,29.88548725,-96.27736949
Alabama,US,8,0,2020-04-01,32.53952745,-86.64408227
Louisiana,US,31,2,2020-04-01,31.07796211,-92.00079449
Colorado,US,3,0,2020-04-01,37.31940883,-102.5603223
Georgia,US,6,0,2020-04-01,31.55456473,-82.45936528
Florida,US,9,0,2020-04-01,30.33060121,-82.28467476
Georgia,US,4,1,2020-04-01,31.32669878,-84.44218806
Alabama,US,20,1,2020-04-01,30.72774991,-87.72207058
Georgia,US,6,1,2020-04-01,33.06882326,-83.24701748
Maryland,US,289,1,2020-04-01,39.45784712,-76.62911955
Maryland,US,221,2,2020-04-01,39.30211911,-76.61151012
South Carolina,US,4,0,2020-04-01,33.21927586,-81.05659969
Georgia,US,3,0,2020-04-01,34.35607081,-83.49644388
Idaho,US,4,0,2020-04-01,42.67002716,-112.2233311
West Virginia,US,1,0,2020-04-01,39.1307219,-80.00350858
North Dakota,US,2,0,2020-04-01,46.93579637,-98.06605978
Massachusetts,US,255,3,2020-04-01,41.72980578,-70.28854339
South Carolina,US,2,0,2020-04-01,33.26679302,-81.43584352
Kentucky,US,1,0,2020-04-01,36.96469836,-85.93338945
Georgia,US,20,2,2020-04-01,33.99148694,-83.71436292
Michigan,US,2,0,2020-04-01,42.59513984,-85.30834519
Missouri,US,1,0,2020-04-01,36.70978521,-93.82919888
Indiana,US,13,0,2020-04-01,39.20744865,-85.89558181
Kansas,US,1,0,2020-04-01,38.47889676,-98.75636726
Georgia,US,144,4,2020-04-01,34.23732119,-84.83887523
Texas,US,8,0,2020-04-01,30.10370699,-97.31206354
Missouri,US,2,0,2020-04-01,38.25271289,-94.34113157
Arkansas,US,1,0,2020-04-01,36.28784385,-92.33782872
Florida,US,10,0,2020-04-01,30.26548745,-85.62122584
Michigan,US,10,0,2020-04-01,43.70639106,-83.98731479
Wisconsin,US,3,0,2020-04-01,46.52868768,-91.19716729
South Dakota,US,21,1,2020-04-01,44.41464384,-98.27858469
North Carolina,US,7,0,2020-04-01,35.48531943,-76.84325809
South Carolina,US,101,2,2020-04-01,32.39226291,-80.72619758
Louisiana,US,8,0,2020-04-01,30.64836518,-93.34173616
Pennsylvania,US,54,2,2020-04-01,40.6825484,-80.34921611
Oklahoma,US,1,0,2020-04-01,35.26862449,-99.68128023
Pennsylvania,US,3,0,2020-04-01,40.00522157,-78.48998442
Tennessee,US,4,0,2020-04-01,35.51123746,-86.45549096
Virginia,US,3,0,2020-04-01,37.3080028,-79.5281964
New Hampshire,US,12,0,2020-04-01,43.51637314,-71.41684235
Texas,US,46,1,2020-04-01,31.03736027,-97.4785025
Ohio,US,11,0,2020-04-01,40.01625942,-80.9924051
Minnesota,US,4,0,2020-04-01,47.97373527,-94.93732139
Georgia,US,3,0,2020-04-01,31.76095874,-83.22145359
Vermont,US,18,0,2020-04-01,43.03519828,-73.09048868
Arkansas,US,39,0,2020-04-01,36.33644656,-94.25680817
Indiana,US,1,0,2020-04-01,40.60626947,-87.31093999
Iowa,US,7,0,2020-04-01,42.08011739,-92.06463573
Minnesota,US,1,0,2020-04-01,45.69804958,-93.99514135
Mississippi,US,4,0,2020-04-01,34.81681228,-89.18945516
Missouri,US,3,0,2020-04-01,38.29503305,-93.28756116
Oregon,US,13,1,2020-04-01,44.49167306,-123.4316987
Tennessee,US,4,0,2020-04-01,36.07110411,-88.06849355
Washington,US,108,7,2020-04-01,46.23946995,-119.5120834
New Jersey,US,3494,75,2020-04-01,40.96010917,-74.07164325
South Carolina,US,18,0,2020-04-01,33.20222596,-79.94654523
West Virginia,US,21,0,2020-04-01,39.46704621,-78.02414609
Pennsylvania,US,151,0,2020-04-01,40.41570541,-75.92457766
Massachusetts,US,183,4,2020-04-01,42.37428441,-73.20524838
New Mexico,US,129,4,2020-04-01,35.05163625,-106.6703554
Georgia,US,2,0,2020-04-01,31.27590016,-83.22529920000002
Michigan,US,38,1,2020-04-01,41.95447397,-86.41313079999998
North Carolina,US,6,0,2020-04-01,36.0688473,-76.96545943
Texas,US,207,9,2020-04-01,29.44928723,-98.52019748
Alabama,US,3,0,2020-04-01,32.99642064,-87.12511459999996
Georgia,US,22,0,2020-04-01,32.80904227,-83.70489165
Louisiana,US,6,1,2020-04-01,32.34569994,-93.05398492
Minnesota,US,1,0,2020-04-01,45.42712824,-96.41403739
Idaho,US,2,0,2020-04-01,43.21672879999999,-112.3978437
Iowa,US,7,0,2020-04-01,42.4704581,-92.30524729
Idaho,US,228,2,2020-04-01,43.4085812,-113.9752658
Pennsylvania,US,4,0,2020-04-01,40.47961444,-78.34917412
Texas,US,1,0,2020-04-01,30.26640707,-98.3999852
Georgia,US,1,0,2020-04-01,32.43829035,-83.33035166
Tennessee,US,2,0,2020-04-01,35.59942968,-85.20611967
Alabama,US,5,0,2020-04-01,33.98210918,-86.56790593
Tennessee,US,28,0,2020-04-01,35.68938198,-83.92847788
Minnesota,US,9,0,2020-04-01,44.03554215,-94.06699781
Mississippi,US,25,1,2020-04-01,33.79696941,-90.87372121
Missouri,US,1,0,2020-04-01,37.32449052,-90.02725304
South Dakota,US,1,0,2020-04-01,42.98914167,-97.88592746
Illinois,US,2,0,2020-04-01,38.88829622,-89.43534887
Idaho,US,1,0,2020-04-01,48.29996017,-116.6017932
Idaho,US,2,0,2020-04-01,43.38713372,-111.6161537
Arkansas,US,1,0,2020-04-01,36.3084504,-93.09374925
Indiana,US,29,0,2020-04-01,40.0509304,-86.46841646
Iowa,US,1,0,2020-04-01,42.03657094,-93.9313999
Kentucky,US,8,0,2020-04-01,38.97065142,-84.72615357
Missouri,US,66,1,2020-04-01,38.99186229,-92.30723575
Louisiana,US,75,1,2020-04-01,32.67932307,-93.60460152
Virginia,US,6,0,2020-04-01,37.55531756,-79.80982182
Colorado,US,107,2,2020-04-01,40.09313619,-105.3546767
Kansas,US,3,0,2020-04-01,37.85508555,-94.84865997
Kentucky,US,2,1,2020-04-01,38.2054607,-84.21827874
Texas,US,9,1,2020-04-01,33.44626922,-94.41834132
Utah,US,7,0,2020-04-01,41.52106798,-113.0832816
Kentucky,US,4,0,2020-04-01,38.36176608,-82.68652187
Kentucky,US,4,0,2020-04-01,37.62680923,-84.8633779
Kentucky,US,1,0,2020-04-01,38.69158994,-84.08532444
Florida,US,3,0,2020-04-01,29.95079741,-82.16611613
Pennsylvania,US,8,0,2020-04-01,41.78869215,-76.51570822
Arkansas,US,4,0,2020-04-01,33.46755808,-92.15980837
Tennessee,US,14,0,2020-04-01,35.15739424,-84.857186
Michigan,US,2,0,2020-04-01,41.91600556,-85.05929476
Texas,US,95,1,2020-04-01,29.18757369,-95.44563172
Texas,US,63,3,2020-04-01,30.663644800000004,-96.30205577
Kentucky,US,2,0,2020-04-01,37.52333168,-83.31959161
Kentucky,US,2,0,2020-04-01,37.77377239,-86.42885017
Florida,US,38,0,2020-04-01,28.29409504,-80.73091022
Massachusetts,US,366,3,2020-04-01,41.79228404,-71.10872211
Rhode Island,US,18,0,2020-04-01,41.71018079,-71.28652315
Virginia,US,1,0,2020-04-01,36.6163024,-82.16359122
Montana,US,3,0,2020-04-01,46.33277565,-111.4955813
South Dakota,US,2,0,2020-04-01,44.36974375,-96.79079945
Georgia,US,2,0,2020-04-01,30.83922642,-83.58303423
New York,US,42,3,2020-04-01,42.15903158,-75.81326086
Colorado,US,20,1,2020-04-01,39.95998787,-105.0566324
Florida,US,1232,12,2020-04-01,26.15184651,-80.48725556
Indiana,US,3,0,2020-04-01,39.19605589,-86.22868909
Minnesota,US,2,0,2020-04-01,44.24205652,-94.72562874
Ohio,US,2,1,2020-04-01,38.93416837,-83.86788395
South Dakota,US,4,0,2020-04-01,45.58994323,-98.35165355
Texas,US,3,0,2020-04-01,31.77430356,-98.99907113
Wisconsin,US,11,0,2020-04-01,44.4526553,-88.00411844
North Carolina,US,16,0,2020-04-01,34.070565,-78.22814204
Virginia,US,1,0,2020-04-01,36.76366949,-77.8593436
Georgia,US,8,1,2020-04-01,32.00979311,-81.44002948
Oklahoma,US,1,0,2020-04-01,33.96472458,-96.25903472
Iowa,US,2,0,2020-04-01,42.4709188,-91.83510825
Missouri,US,5,0,2020-04-01,39.65816401,-94.80138942
Virginia,US,2,0,2020-04-01,37.57242268,-78.52518834
Pennsylvania,US,319,6,2020-04-01,40.33682119,-75.10836643
Nebraska,US,7,1,2020-04-01,40.85486962,-99.07500296
Wisconsin,US,1,0,2020-04-01,44.37835084,-91.75332578
Kentucky,US,6,1,2020-04-01,37.97162523,-85.68955617
Georgia,US,2,0,2020-04-01,32.39577406,-81.74811421
Alabama,US,3,0,2020-04-01,32.10030533,-85.71265535
North Carolina,US,22,1,2020-04-01,35.61113393,-82.53305
Illinois,US,2,0,2020-04-01,41.40385234,-89.5283051
Georgia,US,8,0,2020-04-01,33.05917989,-81.99928721
North Carolina,US,6,0,2020-04-01,35.74989637,-81.70755735
North Dakota,US,2,0,2020-04-01,48.79094471,-102.5182117
North Dakota,US,32,0,2020-04-01,46.97847375,-100.4645214
Texas,US,1,0,2020-04-01,30.49273808,-96.62158484
New Jersey,US,255,5,2020-04-01,39.87681124,-74.66927768
Texas,US,3,0,2020-04-01,30.78801353,-98.181887
Alabama,US,1,0,2020-04-01,31.75300095,-86.68057478
Iowa,US,1,0,2020-04-01,42.73172833,-92.79015971
Kansas,US,5,0,2020-04-01,37.78134351,-96.83878537
Kentucky,US,1,0,2020-04-01,37.20946153,-86.68748787
Missouri,US,1,0,2020-04-01,36.71462476,-90.40421163
Ohio,US,41,0,2020-04-01,39.44012838,-84.57388716
Pennsylvania,US,64,2,2020-04-01,40.91152759,-79.91351055
California,US,8,0,2020-04-01,39.66727762,-121.6005252
South Dakota,US,0,0,2020-04-01,44.90608745,-103.5079318
Georgia,US,8,0,2020-04-01,33.283094500000004,-83.95435040000002
North Carolina,US,47,1,2020-04-01,35.3877799,-80.55267168
West Virginia,US,1,0,2020-04-01,38.42424062,-82.23855912
Utah,US,7,0,2020-04-01,41.72330587,-111.7443667
Louisiana,US,298,7,2020-04-01,32.57991587,-93.88375652
Oklahoma,US,1,0,2020-04-01,35.17364557,-98.37534464
California,US,3,0,2020-04-01,38.20537103,-120.552913
Louisiana,US,90,1,2020-04-01,30.22931235,-93.35400434
Missouri,US,1,0,2020-04-01,39.65620858,-93.98308093
