,Country,Date,No. of confirmed cases,datetime,continent,code
1513,Italy,2015-07-27,1.0,2015-07-27,Europe,IT
1514,Liberia,2015-07-27,6.0,2015-07-27,Africa,LR
1515,Sierra Leone,2015-07-27,8694.0,2015-07-27,Africa,SL
1516,United States of America,2015-07-28,4.0,2015-07-28,North America,US
1517,Spain,2015-07-28,1.0,2015-07-28,Europe,ES
1518,Mali,2015-07-28,7.0,2015-07-28,Africa,ML
1519,United Kingdom,2015-07-28,1.0,2015-07-28,Europe,GB
1520,Sierra Leone,2015-07-28,8694.0,2015-07-28,Africa,SL
1521,Guinea,2015-07-28,3326.0,2015-07-28,Africa,GQ
1522,Nigeria,2015-07-28,19.0,2015-07-28,Africa,NG
1523,Senegal,2015-07-28,1.0,2015-07-28,Africa,SN
1524,Italy,2015-07-28,1.0,2015-07-28,Europe,IT
1525,Liberia,2015-07-28,3151.0,2015-07-28,Africa,LR
1526,Liberia,2015-07-28,6.0,2015-07-28,Africa,LR
1527,Nigeria,2015-07-29,19.0,2015-07-29,Africa,NG
1528,Sierra Leone,2015-07-29,8694.0,2015-07-29,Africa,SL
1529,Liberia,2015-07-29,3151.0,2015-07-29,Africa,LR
1530,United States of America,2015-07-29,4.0,2015-07-29,North America,US
1531,Senegal,2015-07-29,1.0,2015-07-29,Africa,SN
1532,Liberia,2015-07-29,6.0,2015-07-29,Africa,LR
1533,Spain,2015-07-29,1.0,2015-07-29,Europe,ES
1534,Mali,2015-07-29,7.0,2015-07-29,Africa,ML
1535,United Kingdom,2015-07-29,1.0,2015-07-29,Europe,GB
1536,Italy,2015-07-29,1.0,2015-07-29,Europe,IT
1537,Guinea,2015-07-29,3326.0,2015-07-29,Africa,GQ
1538,Guinea,2015-07-30,3326.0,2015-07-30,Africa,GQ
1539,Senegal,2015-07-30,1.0,2015-07-30,Africa,SN
1540,Spain,2015-07-30,1.0,2015-07-30,Europe,ES
1541,Mali,2015-07-30,7.0,2015-07-30,Africa,ML
1542,Sierra Leone,2015-07-30,8694.0,2015-07-30,Africa,SL
1543,Nigeria,2015-07-30,19.0,2015-07-30,Africa,NG
1544,Italy,2015-07-30,1.0,2015-07-30,Europe,IT
1545,United States of America,2015-07-30,4.0,2015-07-30,North America,US
1546,Liberia,2015-07-30,6.0,2015-07-30,Africa,LR
1547,United Kingdom,2015-07-30,1.0,2015-07-30,Europe,GB
1548,Liberia,2015-07-30,3151.0,2015-07-30,Africa,LR
1549,Nigeria,2015-07-31,19.0,2015-07-31,Africa,NG
1550,Senegal,2015-07-31,1.0,2015-07-31,Africa,SN
1551,United States of America,2015-07-31,4.0,2015-07-31,North America,US
1552,Liberia,2015-07-31,6.0,2015-07-31,Africa,LR
1553,Sierra Leone,2015-07-31,8694.0,2015-07-31,Africa,SL
1554,United Kingdom,2015-07-31,1.0,2015-07-31,Europe,GB
1555,Guinea,2015-07-31,3326.0,2015-07-31,Africa,GQ
1556,Spain,2015-07-31,1.0,2015-07-31,Europe,ES
1557,Italy,2015-07-31,1.0,2015-07-31,Europe,IT
1558,Liberia,2015-07-31,3151.0,2015-07-31,Africa,LR
1559,Mali,2015-07-31,7.0,2015-07-31,Africa,ML
1560,United Kingdom,2015-08-03,1.0,2015-08-03,Europe,GB
1561,Liberia,2015-08-03,6.0,2015-08-03,Africa,LR
1562,Sierra Leone,2015-08-03,8695.0,2015-08-03,Africa,SL
1563,Italy,2015-08-03,1.0,2015-08-03,Europe,IT
1564,United States of America,2015-08-03,4.0,2015-08-03,North America,US
1565,Nigeria,2015-08-03,19.0,2015-08-03,Africa,NG
1566,Liberia,2015-08-03,3151.0,2015-08-03,Africa,LR
1567,Guinea,2015-08-03,3327.0,2015-08-03,Africa,GQ
1568,Spain,2015-08-03,1.0,2015-08-03,Europe,ES
1569,Senegal,2015-08-03,1.0,2015-08-03,Africa,SN
1570,Mali,2015-08-03,7.0,2015-08-03,Africa,ML
1571,Spain,2015-08-04,1.0,2015-08-04,Europe,ES
1572,Sierra Leone,2015-08-04,8695.0,2015-08-04,Africa,SL
1573,Liberia,2015-08-04,3151.0,2015-08-04,Africa,LR
1574,United Kingdom,2015-08-04,1.0,2015-08-04,Europe,GB
1575,Italy,2015-08-04,1.0,2015-08-04,Europe,IT
1576,United States of America,2015-08-04,4.0,2015-08-04,North America,US
1577,Senegal,2015-08-04,1.0,2015-08-04,Africa,SN
1578,Mali,2015-08-04,7.0,2015-08-04,Africa,ML
1579,Nigeria,2015-08-04,19.0,2015-08-04,Africa,NG
1580,Guinea,2015-08-04,3327.0,2015-08-04,Africa,GQ
1581,Liberia,2015-08-04,6.0,2015-08-04,Africa,LR
1582,Guinea,2015-08-05,3327.0,2015-08-05,Africa,GQ
1583,Spain,2015-08-05,1.0,2015-08-05,Europe,ES
1584,Mali,2015-08-05,7.0,2015-08-05,Africa,ML
1585,Sierra Leone,2015-08-05,8695.0,2015-08-05,Africa,SL
1586,Liberia,2015-08-05,3151.0,2015-08-05,Africa,LR
1587,Italy,2015-08-05,1.0,2015-08-05,Europe,IT
1588,Senegal,2015-08-05,1.0,2015-08-05,Africa,SN
1589,Liberia,2015-08-05,6.0,2015-08-05,Africa,LR
1590,United States of America,2015-08-05,4.0,2015-08-05,North America,US
1591,United Kingdom,2015-08-05,1.0,2015-08-05,Europe,GB
1592,Nigeria,2015-08-05,19.0,2015-08-05,Africa,NG
1593,Spain,2015-08-06,1.0,2015-08-06,Europe,ES
1594,Guinea,2015-08-06,3329.0,2015-08-06,Africa,GQ
1595,Senegal,2015-08-06,1.0,2015-08-06,Africa,SN
1596,Mali,2015-08-06,7.0,2015-08-06,Africa,ML
1597,Nigeria,2015-08-06,19.0,2015-08-06,Africa,NG
1598,United Kingdom,2015-08-06,1.0,2015-08-06,Europe,GB
1599,Sierra Leone,2015-08-06,8696.0,2015-08-06,Africa,SL
1600,Liberia,2015-08-06,3151.0,2015-08-06,Africa,LR
1601,Liberia,2015-08-06,6.0,2015-08-06,Africa,LR
1602,United States of America,2015-08-06,4.0,2015-08-06,North America,US
1603,Italy,2015-08-06,1.0,2015-08-06,Europe,IT
1604,Liberia,2015-08-07,6.0,2015-08-07,Africa,LR
1605,Spain,2015-08-07,1.0,2015-08-07,Europe,ES
1606,Sierra Leone,2015-08-07,8696.0,2015-08-07,Africa,SL
1607,United States of America,2015-08-07,4.0,2015-08-07,North America,US
1608,Liberia,2015-08-07,3151.0,2015-08-07,Africa,LR
1609,Guinea,2015-08-07,3329.0,2015-08-07,Africa,GQ
1610,Senegal,2015-08-07,1.0,2015-08-07,Africa,SN
1611,United Kingdom,2015-08-07,1.0,2015-08-07,Europe,GB
1612,Nigeria,2015-08-07,19.0,2015-08-07,Africa,NG
1613,Italy,2015-08-07,1.0,2015-08-07,Europe,IT
1614,Mali,2015-08-07,7.0,2015-08-07,Africa,ML
1615,Liberia,2015-08-10,6.0,2015-08-10,Africa,LR
1616,United Kingdom,2015-08-10,1.0,2015-08-10,Europe,GB
1617,Sierra Leone,2015-08-10,8697.0,2015-08-10,Africa,SL
1618,Senegal,2015-08-10,1.0,2015-08-10,Africa,SN
1619,Liberia,2015-08-10,3151.0,2015-08-10,Africa,LR
1620,Spain,2015-08-10,1.0,2015-08-10,Europe,ES
1621,Guinea,2015-08-10,3329.0,2015-08-10,Africa,GQ
1622,Mali,2015-08-10,7.0,2015-08-10,Africa,ML
1623,United States of America,2015-08-10,4.0,2015-08-10,North America,US
1624,Italy,2015-08-10,1.0,2015-08-10,Europe,IT
1625,Nigeria,2015-08-10,19.0,2015-08-10,Africa,NG
1626,Spain,2015-08-11,1.0,2015-08-11,Europe,ES
1627,Guinea,2015-08-11,3329.0,2015-08-11,Africa,GQ
1628,Italy,2015-08-11,1.0,2015-08-11,Europe,IT
1629,Liberia,2015-08-11,6.0,2015-08-11,Africa,LR
1630,United States of America,2015-08-11,4.0,2015-08-11,North America,US
1631,Sierra Leone,2015-08-11,8697.0,2015-08-11,Africa,SL
1632,Senegal,2015-08-11,1.0,2015-08-11,Africa,SN
1633,Nigeria,2015-08-11,19.0,2015-08-11,Africa,NG
1634,United Kingdom,2015-08-11,1.0,2015-08-11,Europe,GB
1635,Mali,2015-08-11,7.0,2015-08-11,Africa,ML
1636,Liberia,2015-08-11,3151.0,2015-08-11,Africa,LR
1637,Liberia,2015-08-12,6.0,2015-08-12,Africa,LR
1638,Spain,2015-08-12,1.0,2015-08-12,Europe,ES
1639,United Kingdom,2015-08-12,1.0,2015-08-12,Europe,GB
1640,Nigeria,2015-08-12,19.0,2015-08-12,Africa,NG
1641,United States of America,2015-08-12,4.0,2015-08-12,North America,US
1642,Italy,2015-08-12,1.0,2015-08-12,Europe,IT
1643,Mali,2015-08-12,7.0,2015-08-12,Africa,ML
1644,Liberia,2015-08-12,3151.0,2015-08-12,Africa,LR
1645,Senegal,2015-08-12,1.0,2015-08-12,Africa,SN
1646,Guinea,2015-08-12,3329.0,2015-08-12,Africa,GQ
1647,Sierra Leone,2015-08-12,8697.0,2015-08-12,Africa,SL
1648,Senegal,2015-08-13,1.0,2015-08-13,Africa,SN
1649,Guinea,2015-08-13,3330.0,2015-08-13,Africa,GQ
1650,Sierra Leone,2015-08-13,8697.0,2015-08-13,Africa,SL
1651,Italy,2015-08-13,1.0,2015-08-13,Europe,IT
1652,Spain,2015-08-13,1.0,2015-08-13,Europe,ES
1653,United Kingdom,2015-08-13,1.0,2015-08-13,Europe,GB
1654,Mali,2015-08-13,7.0,2015-08-13,Africa,ML
1655,United States of America,2015-08-13,4.0,2015-08-13,North America,US
1656,Nigeria,2015-08-13,19.0,2015-08-13,Africa,NG
1657,Liberia,2015-08-13,6.0,2015-08-13,Africa,LR
1658,Liberia,2015-08-13,3151.0,2015-08-13,Africa,LR
1659,Senegal,2015-08-14,1.0,2015-08-14,Africa,SN
1660,Mali,2015-08-14,7.0,2015-08-14,Africa,ML
1661,Spain,2015-08-14,1.0,2015-08-14,Europe,ES
1662,Nigeria,2015-08-14,19.0,2015-08-14,Africa,NG
1663,United States of America,2015-08-14,4.0,2015-08-14,North America,US
1664,Italy,2015-08-14,1.0,2015-08-14,Europe,IT
1665,Guinea,2015-08-14,3330.0,2015-08-14,Africa,GQ
1666,Sierra Leone,2015-08-14,8697.0,2015-08-14,Africa,SL
1667,Liberia,2015-08-14,6.0,2015-08-14,Africa,LR
1668,Liberia,2015-08-14,3151.0,2015-08-14,Africa,LR
1669,United Kingdom,2015-08-14,1.0,2015-08-14,Europe,GB
1670,Guinea,2015-08-17,3332.0,2015-08-17,Africa,GQ
1671,Senegal,2015-08-17,1.0,2015-08-17,Africa,SN
1672,Liberia,2015-08-17,6.0,2015-08-17,Africa,LR
1673,Spain,2015-08-17,1.0,2015-08-17,Europe,ES
1674,Sierra Leone,2015-08-17,8697.0,2015-08-17,Africa,SL
1675,Italy,2015-08-17,1.0,2015-08-17,Europe,IT
1676,United States of America,2015-08-17,4.0,2015-08-17,North America,US
1677,Nigeria,2015-08-17,19.0,2015-08-17,Africa,NG
1678,Liberia,2015-08-17,3151.0,2015-08-17,Africa,LR
1679,Mali,2015-08-17,7.0,2015-08-17,Africa,ML
1680,United Kingdom,2015-08-17,1.0,2015-08-17,Europe,GB
1681,United Kingdom,2015-08-18,1.0,2015-08-18,Europe,GB
1682,Spain,2015-08-18,1.0,2015-08-18,Europe,ES
1683,Sierra Leone,2015-08-18,8697.0,2015-08-18,Africa,SL
1684,Italy,2015-08-18,1.0,2015-08-18,Europe,IT
1685,Liberia,2015-08-18,3151.0,2015-08-18,Africa,LR
1686,Guinea,2015-08-18,3332.0,2015-08-18,Africa,GQ
1687,United States of America,2015-08-18,4.0,2015-08-18,North America,US
1688,Senegal,2015-08-18,1.0,2015-08-18,Africa,SN
1689,Nigeria,2015-08-18,19.0,2015-08-18,Africa,NG
1690,Liberia,2015-08-18,6.0,2015-08-18,Africa,LR
1691,Mali,2015-08-18,7.0,2015-08-18,Africa,ML
1692,Liberia,2015-08-19,6.0,2015-08-19,Africa,LR
1693,Italy,2015-08-19,1.0,2015-08-19,Europe,IT
1694,Senegal,2015-08-19,1.0,2015-08-19,Africa,SN
1695,Nigeria,2015-08-19,19.0,2015-08-19,Africa,NG
1696,Spain,2015-08-19,1.0,2015-08-19,Europe,ES
1697,Guinea,2015-08-19,3332.0,2015-08-19,Africa,GQ
1698,United Kingdom,2015-08-19,1.0,2015-08-19,Europe,GB
1699,Mali,2015-08-19,7.0,2015-08-19,Africa,ML
1700,Sierra Leone,2015-08-19,8697.0,2015-08-19,Africa,SL
1701,Liberia,2015-08-19,3151.0,2015-08-19,Africa,LR
1702,United States of America,2015-08-19,4.0,2015-08-19,North America,US
1703,Senegal,2015-08-20,1.0,2015-08-20,Africa,SN
1704,Guinea,2015-08-20,3334.0,2015-08-20,Africa,GQ
1705,Liberia,2015-08-20,3151.0,2015-08-20,Africa,LR
1706,Spain,2015-08-20,1.0,2015-08-20,Europe,ES
1707,Mali,2015-08-20,7.0,2015-08-20,Africa,ML
1708,Nigeria,2015-08-20,19.0,2015-08-20,Africa,NG
1709,United Kingdom,2015-08-20,1.0,2015-08-20,Europe,GB
1710,Italy,2015-08-20,1.0,2015-08-20,Europe,IT
1711,Sierra Leone,2015-08-20,8697.0,2015-08-20,Africa,SL
1712,United States of America,2015-08-20,4.0,2015-08-20,North America,US
1713,Liberia,2015-08-20,6.0,2015-08-20,Africa,LR
1714,Senegal,2015-08-21,1.0,2015-08-21,Africa,SN
1715,Italy,2015-08-21,1.0,2015-08-21,Europe,IT
1716,Liberia,2015-08-21,6.0,2015-08-21,Africa,LR
1717,Spain,2015-08-21,1.0,2015-08-21,Europe,ES
1718,United States of America,2015-08-21,4.0,2015-08-21,North America,US
1719,Guinea,2015-08-21,3334.0,2015-08-21,Africa,GQ
1720,Liberia,2015-08-21,3151.0,2015-08-21,Africa,LR
1721,Nigeria,2015-08-21,19.0,2015-08-21,Africa,NG
1722,Mali,2015-08-21,7.0,2015-08-21,Africa,ML
1723,Sierra Leone,2015-08-21,8697.0,2015-08-21,Africa,SL
1724,United Kingdom,2015-08-21,1.0,2015-08-21,Europe,GB
1725,Liberia,2015-08-24,6.0,2015-08-24,Africa,LR
1726,Senegal,2015-08-24,1.0,2015-08-24,Africa,SN
1727,Guinea,2015-08-24,3334.0,2015-08-24,Africa,GQ
1728,United Kingdom,2015-08-24,1.0,2015-08-24,Europe,GB
1729,Mali,2015-08-24,7.0,2015-08-24,Africa,ML
1730,Spain,2015-08-24,1.0,2015-08-24,Europe,ES
1731,Nigeria,2015-08-24,19.0,2015-08-24,Africa,NG
1732,Italy,2015-08-24,1.0,2015-08-24,Europe,IT
1733,United States of America,2015-08-24,4.0,2015-08-24,North America,US
1734,Liberia,2015-08-24,3151.0,2015-08-24,Africa,LR
1735,Sierra Leone,2015-08-24,8697.0,2015-08-24,Africa,SL
1736,Italy,2015-08-25,1.0,2015-08-25,Europe,IT
1737,Senegal,2015-08-25,1.0,2015-08-25,Africa,SN
1738,United States of America,2015-08-25,4.0,2015-08-25,North America,US
1739,Liberia,2015-08-25,3151.0,2015-08-25,Africa,LR
1740,Liberia,2015-08-25,6.0,2015-08-25,Africa,LR
1741,Spain,2015-08-25,1.0,2015-08-25,Europe,ES
1742,Sierra Leone,2015-08-25,8697.0,2015-08-25,Africa,SL
1743,Mali,2015-08-25,7.0,2015-08-25,Africa,ML
1744,Nigeria,2015-08-25,19.0,2015-08-25,Africa,NG
1745,Guinea,2015-08-25,3335.0,2015-08-25,Africa,GQ
1746,United Kingdom,2015-08-25,1.0,2015-08-25,Europe,GB
1747,Liberia,2015-08-26,6.0,2015-08-26,Africa,LR
1748,Mali,2015-08-26,7.0,2015-08-26,Africa,ML
1749,United States of America,2015-08-26,4.0,2015-08-26,North America,US
1750,Italy,2015-08-26,1.0,2015-08-26,Europe,IT
1751,Nigeria,2015-08-26,19.0,2015-08-26,Africa,NG
1752,Sierra Leone,2015-08-26,8697.0,2015-08-26,Africa,SL
1753,Spain,2015-08-26,1.0,2015-08-26,Europe,ES
1754,Guinea,2015-08-26,3335.0,2015-08-26,Africa,GQ
1755,United Kingdom,2015-08-26,1.0,2015-08-26,Europe,GB
1756,Senegal,2015-08-26,1.0,2015-08-26,Africa,SN
1757,Liberia,2015-08-26,3151.0,2015-08-26,Africa,LR
1758,Liberia,2015-08-27,6.0,2015-08-27,Africa,LR
1759,Mali,2015-08-27,7.0,2015-08-27,Africa,ML
1760,Nigeria,2015-08-27,19.0,2015-08-27,Africa,NG
1761,Guinea,2015-08-27,3336.0,2015-08-27,Africa,GQ
1762,Italy,2015-08-27,1.0,2015-08-27,Europe,IT
1763,Spain,2015-08-27,1.0,2015-08-27,Europe,ES
1764,Sierra Leone,2015-08-27,8697.0,2015-08-27,Africa,SL
1765,Liberia,2015-08-27,3151.0,2015-08-27,Africa,LR
1766,United Kingdom,2015-08-27,1.0,2015-08-27,Europe,GB
1767,Senegal,2015-08-27,1.0,2015-08-27,Africa,SN
1768,United States of America,2015-08-27,4.0,2015-08-27,North America,US
1769,Liberia,2015-08-28,3151.0,2015-08-28,Africa,LR
1770,Mali,2015-08-28,7.0,2015-08-28,Africa,ML
1771,United States of America,2015-08-28,4.0,2015-08-28,North America,US
1772,Spain,2015-08-28,1.0,2015-08-28,Europe,ES
1773,Senegal,2015-08-28,1.0,2015-08-28,Africa,SN
1774,Liberia,2015-08-28,6.0,2015-08-28,Africa,LR
1775,Nigeria,2015-08-28,19.0,2015-08-28,Africa,NG
1776,Italy,2015-08-28,1.0,2015-08-28,Europe,IT
1777,Guinea,2015-08-28,3336.0,2015-08-28,Africa,GQ
1778,United Kingdom,2015-08-28,1.0,2015-08-28,Europe,GB
1779,Sierra Leone,2015-08-28,8697.0,2015-08-28,Africa,SL
1780,Mali,2015-08-31,7.0,2015-08-31,Africa,ML
1781,Liberia,2015-08-31,6.0,2015-08-31,Africa,LR
1782,Guinea,2015-08-31,3337.0,2015-08-31,Africa,GQ
1783,Sierra Leone,2015-08-31,8698.0,2015-08-31,Africa,SL
1784,Nigeria,2015-08-31,19.0,2015-08-31,Africa,NG
1785,Senegal,2015-08-31,1.0,2015-08-31,Africa,SN
1786,Liberia,2015-08-31,3151.0,2015-08-31,Africa,LR
1787,Spain,2015-08-31,1.0,2015-08-31,Europe,ES
1788,United States of America,2015-08-31,4.0,2015-08-31,North America,US
1789,United Kingdom,2015-08-31,1.0,2015-08-31,Europe,GB
1790,Italy,2015-08-31,1.0,2015-08-31,Europe,IT
1791,Spain,2015-09-01,1.0,2015-09-01,Europe,ES
1792,Guinea,2015-09-01,3337.0,2015-09-01,Africa,GQ
1793,Liberia,2015-09-01,3151.0,2015-09-01,Africa,LR
1794,Sierra Leone,2015-09-01,8698.0,2015-09-01,Africa,SL
1795,United States of America,2015-09-01,4.0,2015-09-01,North America,US
1796,Liberia,2015-09-01,6.0,2015-09-01,Africa,LR
1797,Mali,2015-09-01,7.0,2015-09-01,Africa,ML
1798,Italy,2015-09-01,1.0,2015-09-01,Europe,IT
1799,United Kingdom,2015-09-01,1.0,2015-09-01,Europe,GB
1800,Senegal,2015-09-01,1.0,2015-09-01,Africa,SN
1801,Nigeria,2015-09-01,19.0,2015-09-01,Africa,NG
1802,Sierra Leone,2015-09-02,8698.0,2015-09-02,Africa,SL
1803,Mali,2015-09-02,7.0,2015-09-02,Africa,ML
1804,United States of America,2015-09-02,4.0,2015-09-02,North America,US
1805,United Kingdom,2015-09-02,1.0,2015-09-02,Europe,GB
1806,Guinea,2015-09-02,3337.0,2015-09-02,Africa,GQ
1807,Liberia,2015-09-02,3151.0,2015-09-02,Africa,LR
1808,Spain,2015-09-02,1.0,2015-09-02,Europe,ES
1809,Senegal,2015-09-02,1.0,2015-09-02,Africa,SN
1810,Italy,2015-09-02,1.0,2015-09-02,Europe,IT
1811,Nigeria,2015-09-02,19.0,2015-09-02,Africa,NG
1812,Liberia,2015-09-02,6.0,2015-09-02,Africa,LR
1813,Italy,2015-09-03,1.0,2015-09-03,Europe,IT
1814,Spain,2015-09-03,1.0,2015-09-03,Europe,ES
1815,Mali,2015-09-03,7.0,2015-09-03,Africa,ML
1816,United States of America,2015-09-03,4.0,2015-09-03,North America,US
1817,Guinea,2015-09-03,3338.0,2015-09-03,Africa,GQ
1818,Senegal,2015-09-03,1.0,2015-09-03,Africa,SN
1819,United Kingdom,2015-09-03,1.0,2015-09-03,Europe,GB
1820,Liberia,2015-09-03,3151.0,2015-09-03,Africa,LR
1821,Nigeria,2015-09-03,19.0,2015-09-03,Africa,NG
1822,Liberia,2015-09-03,6.0,2015-09-03,Africa,LR
1823,Sierra Leone,2015-09-03,8698.0,2015-09-03,Africa,SL
1824,Spain,2015-09-04,1.0,2015-09-04,Europe,ES
1825,United States of America,2015-09-04,4.0,2015-09-04,North America,US
1826,Italy,2015-09-04,1.0,2015-09-04,Europe,IT
1827,Liberia,2015-09-04,3151.0,2015-09-04,Africa,LR
1828,Senegal,2015-09-04,1.0,2015-09-04,Africa,SN
1829,Nigeria,2015-09-04,19.0,2015-09-04,Africa,NG
1830,Guinea,2015-09-04,3338.0,2015-09-04,Africa,GQ
1831,Sierra Leone,2015-09-04,8698.0,2015-09-04,Africa,SL
1832,Liberia,2015-09-04,6.0,2015-09-04,Africa,LR
1833,United Kingdom,2015-09-04,1.0,2015-09-04,Europe,GB
1834,Mali,2015-09-04,7.0,2015-09-04,Africa,ML
1835,Nigeria,2015-09-07,19.0,2015-09-07,Africa,NG
1836,Mali,2015-09-07,7.0,2015-09-07,Africa,ML
1837,Guinea,2015-09-07,3338.0,2015-09-07,Africa,GQ
1838,Liberia,2015-09-07,6.0,2015-09-07,Africa,LR
1839,Senegal,2015-09-07,1.0,2015-09-07,Africa,SN
1840,Italy,2015-09-07,1.0,2015-09-07,Europe,IT
1841,Spain,2015-09-07,1.0,2015-09-07,Europe,ES
1842,United States of America,2015-09-07,4.0,2015-09-07,North America,US
1843,United Kingdom,2015-09-07,1.0,2015-09-07,Europe,GB
1844,Sierra Leone,2015-09-07,8699.0,2015-09-07,Africa,SL
1845,Liberia,2015-09-07,3151.0,2015-09-07,Africa,LR
1846,Senegal,2015-09-08,1.0,2015-09-08,Africa,SN
1847,Liberia,2015-09-08,6.0,2015-09-08,Africa,LR
1848,Nigeria,2015-09-08,19.0,2015-09-08,Africa,NG
1849,Guinea,2015-09-08,3338.0,2015-09-08,Africa,GQ
1850,United States of America,2015-09-08,4.0,2015-09-08,North America,US
1851,Sierra Leone,2015-09-08,8699.0,2015-09-08,Africa,SL
1852,United Kingdom,2015-09-08,1.0,2015-09-08,Europe,GB
1853,Mali,2015-09-08,7.0,2015-09-08,Africa,ML
1854,Italy,2015-09-08,1.0,2015-09-08,Europe,IT
1855,Liberia,2015-09-08,3151.0,2015-09-08,Africa,LR
1856,Spain,2015-09-08,1.0,2015-09-08,Europe,ES
1857,Sierra Leone,2015-09-09,8699.0,2015-09-09,Africa,SL
1858,Italy,2015-09-09,1.0,2015-09-09,Europe,IT
1859,United Kingdom,2015-09-09,1.0,2015-09-09,Europe,GB
1860,Senegal,2015-09-09,1.0,2015-09-09,Africa,SN
1861,Guinea,2015-09-09,3338.0,2015-09-09,Africa,GQ
1862,Liberia,2015-09-09,3151.0,2015-09-09,Africa,LR
1863,United States of America,2015-09-09,4.0,2015-09-09,North America,US
1864,Liberia,2015-09-09,6.0,2015-09-09,Africa,LR
1865,Mali,2015-09-09,7.0,2015-09-09,Africa,ML
1866,Spain,2015-09-09,1.0,2015-09-09,Europe,ES
1867,Nigeria,2015-09-09,19.0,2015-09-09,Africa,NG
1868,Nigeria,2015-09-10,19.0,2015-09-10,Africa,NG
1869,Guinea,2015-09-10,3338.0,2015-09-10,Africa,GQ
1870,Liberia,2015-09-10,6.0,2015-09-10,Africa,LR
1871,Sierra Leone,2015-09-10,8702.0,2015-09-10,Africa,SL
1872,Italy,2015-09-10,1.0,2015-09-10,Europe,IT
1873,United States of America,2015-09-10,4.0,2015-09-10,North America,US
1874,Liberia,2015-09-10,3151.0,2015-09-10,Africa,LR
1875,United Kingdom,2015-09-10,1.0,2015-09-10,Europe,GB
1876,Spain,2015-09-10,1.0,2015-09-10,Europe,ES
1877,Mali,2015-09-10,7.0,2015-09-10,Africa,ML
1878,Senegal,2015-09-10,1.0,2015-09-10,Africa,SN
1879,Sierra Leone,2015-09-11,8703.0,2015-09-11,Africa,SL
1880,Nigeria,2015-09-11,19.0,2015-09-11,Africa,NG
1881,Mali,2015-09-11,7.0,2015-09-11,Africa,ML
1882,Liberia,2015-09-11,3151.0,2015-09-11,Africa,LR
1883,Italy,2015-09-11,1.0,2015-09-11,Europe,IT
1884,Guinea,2015-09-11,3338.0,2015-09-11,Africa,GQ
1885,Liberia,2015-09-11,6.0,2015-09-11,Africa,LR
1886,United States of America,2015-09-11,4.0,2015-09-11,North America,US
1887,Spain,2015-09-11,1.0,2015-09-11,Europe,ES
1888,Senegal,2015-09-11,1.0,2015-09-11,Africa,SN
1889,United Kingdom,2015-09-11,1.0,2015-09-11,Europe,GB
1890,Spain,2015-09-14,1.0,2015-09-14,Europe,ES
1891,Liberia,2015-09-14,6.0,2015-09-14,Africa,LR
1892,Senegal,2015-09-14,1.0,2015-09-14,Africa,SN
1893,Italy,2015-09-14,1.0,2015-09-14,Europe,IT
1894,Guinea,2015-09-14,3338.0,2015-09-14,Africa,GQ
1895,Nigeria,2015-09-14,19.0,2015-09-14,Africa,NG
1896,Sierra Leone,2015-09-14,8703.0,2015-09-14,Africa,SL
1897,United Kingdom,2015-09-14,1.0,2015-09-14,Europe,GB
1898,United States of America,2015-09-14,4.0,2015-09-14,North America,US
1899,Liberia,2015-09-14,3151.0,2015-09-14,Africa,LR
1900,Mali,2015-09-14,7.0,2015-09-14,Africa,ML
1901,Senegal,2015-09-15,1.0,2015-09-15,Africa,SN
1902,Italy,2015-09-15,1.0,2015-09-15,Europe,IT
1903,United States of America,2015-09-15,4.0,2015-09-15,North America,US
1904,Spain,2015-09-15,1.0,2015-09-15,Europe,ES
1905,Sierra Leone,2015-09-15,8704.0,2015-09-15,Africa,SL
1906,United Kingdom,2015-09-15,1.0,2015-09-15,Europe,GB
1907,Nigeria,2015-09-15,19.0,2015-09-15,Africa,NG
1908,Liberia,2015-09-15,3151.0,2015-09-15,Africa,LR
1909,Guinea,2015-09-15,3338.0,2015-09-15,Africa,GQ
1910,Mali,2015-09-15,7.0,2015-09-15,Africa,ML
1911,Liberia,2015-09-15,6.0,2015-09-15,Africa,LR
1912,Guinea,2015-09-16,3338.0,2015-09-16,Africa,GQ
1913,Liberia,2015-09-16,3151.0,2015-09-16,Africa,LR
1914,Senegal,2015-09-16,1.0,2015-09-16,Africa,SN
1915,United Kingdom,2015-09-16,1.0,2015-09-16,Europe,GB
1916,Spain,2015-09-16,1.0,2015-09-16,Europe,ES
1917,Italy,2015-09-16,1.0,2015-09-16,Europe,IT
1918,Mali,2015-09-16,7.0,2015-09-16,Africa,ML
1919,United States of America,2015-09-16,4.0,2015-09-16,North America,US
1920,Liberia,2015-09-16,6.0,2015-09-16,Africa,LR
1921,Sierra Leone,2015-09-16,8704.0,2015-09-16,Africa,SL
1922,Nigeria,2015-09-16,19.0,2015-09-16,Africa,NG
1923,Sierra Leone,2015-09-17,8704.0,2015-09-17,Africa,SL
1924,Liberia,2015-09-17,6.0,2015-09-17,Africa,LR
1925,Mali,2015-09-17,7.0,2015-09-17,Africa,ML
1926,Spain,2015-09-17,1.0,2015-09-17,Europe,ES
1927,Senegal,2015-09-17,1.0,2015-09-17,Africa,SN
1928,Guinea,2015-09-17,3338.0,2015-09-17,Africa,GQ
1929,Liberia,2015-09-17,3151.0,2015-09-17,Africa,LR
