,Country,Confirmed,Deaths
0,United States of America,25180513,1246634
1,China,7019639,282563
2,Italy,6979024,875609
3,Spain,6963720,703058
4,Germany,5192542,146553
5,France,5072414,607735
6,United Kingdom,3948575,520402
7,Iran,3171566,200421
8,Turkey,2657454,64020
9,Others,21683189,944528
